Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.22966, 0.188702, N/A, 0.00150839, 0.00235506, 1.70984, 0.00789746, 2, 2, 2, 4, 1, 1, 69.4748, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
